,episode,average_rewards,average_q_value
0,50,29.387147335423123,0.26234760582447053
1,100,48.830721003134634,3.78953847911428
2,150,53.546394984325914,5.984376165908196
3,200,61.235109717868426,9.91539694581713
4,250,196.57053291536153,14.952077319071844
5,300,64.36990595611297,20.252116625649588
6,350,150.98338557993833,20.75715266754481
7,400,172.62695924765,24.094928101130893
8,450,176.43573667711752,28.81944344986317
9,500,191.2009404388725,29.525052758327043
10,550,172.50000000000108,31.06278709411621
11,600,160.81473354232085,33.616651411979426
12,650,202.84012539185065,35.572328442793626
13,700,153.13730407523596,35.714064114129364
14,750,186.12100313479786,39.231073554855826
15,800,219.78369905956257,48.43536501238423
16,850,196.6918495297809,46.62833056964941
17,900,192.28620689655202,46.84381082442935
18,950,274.4796238244509,46.66079929058368
19,1000,208.10971786833971,55.70570004781087
20,1050,214.27931034482876,66.21062373763081
21,1100,209.10971786833966,74.02224440941444
22,1150,194.9749216300955,79.9818738885828
23,1200,189.16614420062794,93.62929576237997
24,1250,187.86269592476594,88.39739359980044
25,1300,135.86896551724206,83.7312399158041
26,1350,134.5802507836997,83.75722077605012
27,1400,202.96927899686648,79.29934198428423
28,1450,292.2884012539183,95.76981163024902
29,1500,209.1097178683397,88.88577100313627
